,page_number,character,position
0,1,Hal,"(4172, 4175)"
1,1,Hal,"(4779, 4782)"
2,1,Hal,"(5242, 5245)"
3,1,Hal,"(5941, 5944)"
4,1,Hal,"(6174, 6177)"
5,1,Incandenza,"(2268, 2278)"
6,2,Hal,"(679, 682)"
7,2,Hal,"(726, 729)"
8,2,Hal,"(805, 808)"
9,2,Hal,"(2891, 2894)"
10,2,Hal,"(5512, 5515)"
11,2,Hal,"(6163, 6166)"
12,2,Hal,"(6430, 6433)"
13,3,Hal,"(475, 478)"
14,3,Hal,"(1276, 1279)"
15,3,Hal,"(6751, 6754)"
16,3,Incandenza,"(6739, 6749)"
17,4,Orin,"(824, 828)"
18,4,Orin,"(1987, 1991)"
19,4,Orin,"(4560, 4564)"
20,5,Hal,"(4644, 4647)"
21,6,Hal,"(1347, 1350)"
22,6,Hal,"(1850, 1853)"
23,6,Hal,"(1855, 1858)"
24,6,Hal,"(1994, 1997)"
25,6,Hal,"(2109, 2112)"
26,6,Orin,"(2496, 2500)"
27,6,Himself,"(6114, 6121)"
28,10,Hal,"(6883, 6886)"
29,11,Hal,"(34, 37)"
30,11,Hal,"(554, 557)"
31,11,Hal,"(1896, 1899)"
32,11,Hal,"(5297, 5300)"
33,11,Himself,"(2314, 2321)"
34,11,Himself,"(3039, 3046)"
35,11,Himself,"(3152, 3159)"
36,11,Himself,"(3184, 3191)"
37,11,Himself,"(3214, 3221)"
38,11,Himself,"(3542, 3549)"
39,12,Mario,"(5640, 5645)"
40,12,Mario,"(5691, 5696)"
41,12,Mario,"(5942, 5947)"
42,12,Hal,"(5521, 5524)"
43,12,Hal,"(5769, 5772)"
44,12,Himself,"(3211, 3218)"
45,12,Mondragon,"(3658, 3667)"
46,12,Luria P.,"(326, 334)"
47,13,Mario,"(445, 450)"
48,13,Mario,"(880, 885)"
49,13,Mario,"(930, 935)"
50,13,Hal,"(26, 29)"
51,13,Hal,"(278, 281)"
52,13,Hal,"(509, 512)"
53,13,Hal,"(640, 643)"
54,13,Hal,"(708, 711)"
55,13,Hal,"(874, 877)"
56,13,Hal,"(1075, 1078)"
57,13,Orin,"(628, 632)"
58,15,Mario,"(6172, 6177)"
59,15,Booboo,"(6201, 6207)"
60,15,Hal,"(6139, 6142)"
61,15,Hal,"(6160, 6163)"
62,16,Mario,"(141, 146)"
63,16,Mario,"(950, 955)"
64,16,Mario,"(1724, 1729)"
65,16,Mario,"(2067, 2072)"
66,16,Booboo,"(391, 397)"
67,16,Booboo,"(1499, 1505)"
68,16,Booboo,"(3637, 3643)"
69,16,Hal,"(103, 106)"
70,16,Hal,"(122, 125)"
71,16,Hal,"(1905, 1908)"
72,16,Hal,"(1924, 1927)"
73,16,Hal,"(2329, 2332)"
74,16,Hal,"(2416, 2419)"
75,16,Hal,"(2650, 2653)"
76,16,Hal,"(3210, 3213)"
77,16,Hal,"(3733, 3736)"
78,16,Himself,"(1371, 1378)"
79,16,Himself,"(2459, 2466)"
80,16,Himself,"(2700, 2707)"
81,16,Himself,"(3438, 3445)"
82,17,Mario,"(548, 553)"
83,17,Booboo,"(118, 124)"
84,17,Booboo,"(170, 176)"
85,17,Hal,"(99, 102)"
86,17,Hal,"(558, 561)"
87,17,Hal,"(1030, 1033)"
88,17,Orin,"(756, 760)"
89,17,Orin,"(1055, 1059)"
90,17,Orin,"(1283, 1287)"
91,17,Orin,"(1700, 1704)"
92,17,Orin,"(2676, 2680)"
93,17,Orin,"(3424, 3428)"
94,17,Orin,"(3735, 3739)"
95,17,Orin,"(4619, 4623)"
96,17,Orin,"(4878, 4882)"
97,17,Orin,"(5910, 5914)"
98,17,Orin,"(6244, 6248)"
99,17,Orin,"(6550, 6554)"
100,17,Orin,"(7222, 7226)"
101,17,Incandenza,"(761, 771)"
102,17,Incandenza,"(1034, 1044)"
103,17,Incandenza,"(6555, 6565)"
104,18,Orin,"(435, 439)"
105,18,Orin,"(798, 802)"
106,18,Orin,"(1580, 1584)"
107,18,Orin,"(1661, 1665)"
108,18,Orin,"(2743, 2747)"
109,18,Orin,"(2968, 2972)"
110,18,Orin,"(3011, 3015)"
111,18,Orin,"(4205, 4209)"
112,18,Orin,"(4794, 4798)"
113,18,Orin,"(4957, 4961)"
114,18,Orin,"(5442, 5446)"
115,18,Orin,"(5803, 5807)"
116,18,Orin,"(6023, 6027)"
117,18,Orin,"(6103, 6107)"
118,18,Orin,"(6282, 6286)"
119,18,Himself,"(1217, 1224)"
120,18,Himself,"(4720, 4727)"
121,18,Avril,"(5530, 5535)"
122,18,Incandenza,"(5543, 5553)"
123,19,Mario,"(7130, 7135)"
124,19,Hal,"(179, 182)"
125,19,Hal,"(4446, 4449)"
126,19,Hal,"(4698, 4701)"
127,19,Hal,"(5006, 5009)"
128,19,Hal,"(5085, 5088)"
129,19,Hal,"(5563, 5566)"
130,19,Hal,"(6727, 6730)"
131,19,Hal,"(6935, 6938)"
132,19,Hal,"(7116, 7119)"
133,19,Hallie,"(4446, 4452)"
134,19,Orin,"(1584, 1588)"
135,19,Orin,"(1701, 1705)"
136,19,Orin,"(4504, 4508)"
137,19,Incandenza,"(4702, 4712)"
138,20,Mario,"(3651, 3656)"
139,20,Hal,"(86, 89)"
140,20,Hal,"(310, 313)"
141,20,Hal,"(438, 441)"
142,20,Hal,"(508, 511)"
143,20,Hal,"(631, 634)"
144,20,Hal,"(929, 932)"
145,20,Hal,"(1075, 1078)"
146,20,Hal,"(1923, 1926)"
147,20,Hal,"(2250, 2253)"
148,20,Hal,"(2646, 2649)"
149,20,Hal,"(3091, 3094)"
150,20,Hal,"(3170, 3173)"
151,20,Hal,"(3637, 3640)"
152,20,Hal,"(7470, 7473)"
153,20,Orin,"(332, 336)"
154,20,Avril,"(527, 532)"
155,20,Avril,"(881, 886)"
156,20,Avril,"(1470, 1475)"
157,20,Avril,"(2135, 2140)"
158,20,Avril,"(2923, 2928)"
159,20,Avril,"(3056, 3061)"
160,20,Avril,"(3340, 3345)"
161,20,Incandenza,"(533, 543)"
162,20,Incandenza,"(887, 897)"
163,20,Incandenza,"(4675, 4685)"
164,21,Mario,"(6416, 6421)"
165,21,Hal,"(107, 110)"
166,21,Hal,"(373, 376)"
167,21,Hal,"(1959, 1962)"
168,21,Hal,"(4334, 4337)"
169,21,Hal,"(4993, 4996)"
170,21,Hal,"(5266, 5269)"
171,21,Hal,"(5327, 5330)"
172,21,Incandenza,"(1963, 1973)"
173,21,Incandenza,"(3019, 3029)"
174,21,Incandenza,"(6422, 6432)"
175,22,Hal,"(3409, 3412)"
176,22,Hal,"(6469, 6472)"
177,24,Orin,"(7585, 7589)"
178,24,James Orin,"(7579, 7589)"
179,24,Incandenza,"(7485, 7495)"
180,24,Incandenza,"(7590, 7600)"
181,24,Incandenza,"(7734, 7744)"
182,25,Orin,"(3656, 3660)"
183,25,Orin,"(5764, 5768)"
184,25,Orin,"(6498, 6502)"
185,25,Orin,"(6776, 6780)"
186,25,Orin,"(7051, 7055)"
187,25,Orin,"(7321, 7325)"
188,25,Avril,"(2929, 2934)"
189,25,Mondragon,"(2935, 2944)"
190,25,Mondragon,"(3359, 3368)"
191,25,Incandenza,"(648, 658)"
192,25,Incandenza,"(2701, 2711)"
193,25,Incandenza,"(3087, 3097)"
194,25,Incandenza,"(3629, 3639)"
195,25,Incandenza,"(4587, 4597)"
196,25,Incandenza,"(4895, 4905)"
197,25,Incandenza,"(5312, 5322)"
198,26,Orin,"(47, 51)"
199,26,Orin,"(962, 966)"
200,27,Hal,"(333, 336)"
201,31,Mario,"(3782, 3787)"
202,31,Mario,"(4029, 4034)"
203,31,Mario,"(4474, 4479)"
204,31,Mario,"(4728, 4733)"
205,31,Mario,"(4799, 4804)"
206,31,Mario,"(5063, 5068)"
207,31,Mario,"(5090, 5095)"
208,31,Mario,"(6275, 6280)"
209,31,Incandenza,"(2095, 2105)"
210,31,Incandenza,"(2227, 2237)"
211,31,Incandenza,"(3788, 3798)"
212,32,Mario,"(907, 912)"
213,32,Mario,"(1304, 1309)"
214,32,Mario,"(4706, 4711)"
215,32,Mario,"(4917, 4922)"
216,32,Mario,"(5552, 5557)"
217,32,Mario,"(6122, 6127)"
218,32,Incandenza,"(927, 937)"
219,32,Incandenza,"(1024, 1034)"
220,32,Incandenza,"(1118, 1128)"
221,32,Incandenza,"(1746, 1756)"
222,32,Incandenza,"(2333, 2343)"
223,32,Incandenza,"(2901, 2911)"
224,32,Incandenza,"(3303, 3313)"
225,32,Incandenza,"(4087, 4097)"
226,32,Incandenza,"(5558, 5568)"
227,33,Mario,"(112, 117)"
228,33,Mario,"(281, 286)"
229,33,Mario,"(584, 589)"
230,33,Mario,"(790, 795)"
231,33,Mario,"(930, 935)"
232,33,Mario,"(1675, 1680)"
233,33,Mario,"(2693, 2698)"
234,33,Mario,"(3077, 3082)"
235,33,Mario,"(3378, 3383)"
236,33,Mario,"(3641, 3646)"
237,33,Mario,"(3693, 3698)"
238,33,Mario,"(3971, 3976)"
239,33,Mario,"(4285, 4290)"
240,33,Mario,"(4826, 4831)"
241,33,Hal,"(314, 317)"
242,36,Luria P.,"(4086, 4094)"
243,37,Hal,"(4891, 4894)"
244,37,Hal,"(5382, 5385)"
245,37,Hal,"(6012, 6015)"
246,37,Hal,"(6022, 6025)"
247,38,Hal,"(2029, 2032)"
248,38,Hal,"(2126, 2129)"
249,38,Hal,"(2138, 2141)"
250,38,Hal,"(2151, 2154)"
251,38,Hal,"(2164, 2167)"
252,38,Hal,"(2389, 2392)"
253,38,Hal,"(2746, 2749)"
254,38,Hal,"(2954, 2957)"
255,38,Hal,"(5059, 5062)"
256,38,Hal,"(5493, 5496)"
257,38,Hal,"(5593, 5596)"
258,39,Hal,"(148, 151)"
259,39,Hal,"(1982, 1985)"
260,39,Hal,"(3809, 3812)"
261,39,Hal,"(6244, 6247)"
262,39,Hal,"(6565, 6568)"
263,39,Hal,"(6929, 6932)"
264,39,Hal,"(7115, 7118)"
265,40,Mario,"(1399, 1404)"
266,40,Hal,"(362, 365)"
267,40,Hal,"(653, 656)"
268,40,Hal,"(926, 929)"
269,40,Hal,"(1046, 1049)"
