,page_number,character,counts_per_page
0,1,Hal,5
1,1,Incandenza,1
2,2,Hal,7
3,3,Hal,3
4,3,Incandenza,1
5,4,Orin,3
6,5,Hal,1
7,6,Hal,5
8,6,Himself,1
9,6,Orin,1
10,10,Hal,1
11,11,Hal,4
12,11,Himself,6
13,12,Hal,2
14,12,Himself,1
15,12,Luria P.,1
16,12,Mario,3
17,12,Mondragon,1
18,13,Hal,7
19,13,Mario,3
20,13,Orin,1
21,15,Booboo,1
22,15,Hal,2
23,15,Mario,1
24,16,Booboo,3
25,16,Hal,9
26,16,Himself,4
27,16,Mario,4
28,17,Booboo,2
29,17,Hal,3
30,17,Incandenza,3
31,17,Mario,1
32,17,Orin,13
33,18,Avril,1
34,18,Himself,2
35,18,Incandenza,1
36,18,Orin,15
37,19,Hal,9
38,19,Hallie,1
39,19,Incandenza,1
40,19,Mario,1
41,19,Orin,3
42,20,Avril,7
43,20,Hal,14
44,20,Incandenza,3
45,20,Mario,1
46,20,Orin,1
47,21,Hal,7
48,21,Incandenza,3
49,21,Mario,1
50,22,Hal,2
51,24,Incandenza,3
52,24,James Orin,1
53,24,Orin,1
54,25,Avril,1
55,25,Incandenza,7
56,25,Mondragon,2
57,25,Orin,6
58,26,Orin,2
59,27,Hal,1
60,31,Incandenza,3
61,31,Mario,8
62,32,Incandenza,9
63,32,Mario,6
64,33,Hal,1
65,33,Mario,14
66,36,Luria P.,1
67,37,Hal,4
68,38,Hal,11
69,39,Hal,7
70,40,Hal,8
71,40,Himself,1
72,40,Incandenza,1
73,40,Mario,1
74,40,Orin,2
75,41,Hal,10
76,43,Hal,3
77,43,Orin,1
78,44,Hal,9
79,45,Hal,11
80,48,Hal,5
81,48,Incandenza,1
82,48,Mario,9
83,49,Hal,2
84,49,Mario,15
85,50,Hal,2
86,50,Mario,11
87,51,Incandenza,1
88,54,Hal,10
89,54,Hallie,3
90,54,Orin,7
91,60,Hal,1
92,60,Incandenza,1
93,60,Mario,4
94,61,Avril,2
95,61,Hal,10
96,61,Himself,1
97,61,Incandenza,6
98,61,Mario,13
99,62,Hal,1
100,62,Incandenza,1
101,62,Mario,3
102,62,Orin,1
103,65,Himself,1
104,65,Incandenza,1
105,65,J.O.I.,2
106,67,Hal,4
107,67,Incandenza,3
108,67,Madame,1
109,67,Madame Psychosis,1
110,67,Mario,3
111,68,Himself,2
112,69,Himself,2
113,71,Madame,1
114,71,Madame Psychosis,1
115,72,Incandenza,1
116,72,Madame,10
117,72,Madame Psychosis,9
118,73,Madame,6
119,73,Madame Psychosis,4
120,74,Avril,8
121,74,Hal,2
122,74,Incandenza,4
123,74,Madame,4
124,74,Madame Psychosis,2
125,74,Mario,4
126,75,Avril,10
127,75,Hal,10
128,75,Incandenza,1
129,75,Madame,6
130,75,Madame Psychosis,3
131,75,Mario,14
132,75,Orin,1
133,76,Avril,5
134,76,Hal,8
135,76,Madame,2
136,76,Madame Psychosis,2
137,76,Mario,6
138,78,Hal,2
139,79,Madame,1
140,79,Madame Psychosis,1
141,83,Hal,4
142,83,Incandenza,1
143,84,Avril,1
144,84,Hal,12
145,84,Mario,1
146,85,Hal,13
147,85,Incandenza,2
148,85,Madame,1
149,85,Madame Psychosis,1
150,85,Mario,3
151,86,Avril,2
152,86,Hal,7
153,86,Mario,2
154,88,Incandenza,1
155,88,Orin,2
156,89,Incandenza,2
157,89,Madame,1
158,89,Orin,1
159,90,Incandenza,3
160,90,Orin,4
161,92,Orin,1
162,93,Incandenza,1
163,94,Himself,1
164,94,Orin,1
165,95,Hal,2
166,95,Orin,1
167,96,Hal,4
168,96,Hallie,4
169,96,Mario,1
170,97,Hal,6
171,97,Hallie,3
172,97,Himself,7
173,97,Mario,1
174,98,Hal,1
175,98,Himself,5
176,98,Incandenza,1
177,98,Mario,4
178,98,Orin,1
179,98,P.G.O.A.T.,1
180,99,Hal,1
181,99,Hallie,1
182,99,Himself,2
183,100,Hal,2
184,100,Hallie,2
185,100,Himself,6
186,101,Hal,2
187,101,Hallie,2
188,101,Himself,3
189,102,Hal,3
190,102,Incandenza,2
191,103,Hal,5
192,103,Incandenza,3
193,104,Hal,4
194,104,Incandenza,1
195,104,Mario,2
196,105,Hal,1
197,105,Incandenza,1
198,105,Mario,4
199,106,Hal,7
200,106,Incandenza,1
201,107,Hal,2
202,107,Incandenza,1
203,111,Hal,5
204,111,Incandenza,3
205,111,Mario,3
206,111,Orin,2
207,112,Avril,4
208,112,Hal,2
209,112,Himself,4
210,112,Incandenza,4
211,112,Orin,23
212,113,Avril,4
213,113,Hal,1
214,113,Himself,2
215,113,Incandenza,4
216,113,Mario,1
217,113,Orin,10
218,114,Avril,2
219,114,Incandenza,2
220,114,Orin,21
221,115,Hal,1
222,115,Incandenza,2
223,115,Orin,18
224,115,P.G.O.A.T.,1
225,116,Hal,1
226,116,Incandenza,3
227,116,Orin,18
228,116,P.G.O.A.T.,1
229,117,Avril,1
230,117,Himself,6
231,117,Mario,1
232,117,Orin,19
233,117,P.G.O.A.T.,5
234,118,Hal,1
235,118,Orin,8
236,118,P.G.O.A.T.,1
237,121,Hal,1
238,121,Incandenza,1
239,122,Hal,7
240,122,Incandenza,1
241,122,Orin,3
242,123,Avril,4
243,123,Hal,1
244,123,Incandenza,5
245,123,Mario,12
246,123,Orin,3
247,124,Avril,2
248,124,Booboo,1
249,124,Hal,9
250,124,Hallie,1
251,124,Himself,3
252,124,Incandenza,3
253,124,Mario,22
254,124,Orin,2
255,125,Avril,2
256,125,Booboo,1
257,125,Hal,8
258,125,Mario,5
259,127,Hal,3
260,127,Incandenza,2
261,128,Hal,1
262,129,Hal,4
263,129,Incandenza,2
264,130,Hal,6
265,130,Mario,1
266,131,Hal,9
267,132,Hal,4
268,133,Hal,8
269,133,Incandenza,2
270,134,Hal,12
271,147,Himself,1
272,147,Incandenza,1
273,147,Mario,1
274,148,Himself,3
275,148,Incandenza,4
276,148,Mario,5
277,149,Avril,1
278,149,Hal,1
279,149,Incandenza,2
280,149,Mario,8
281,150,Incandenza,1
282,150,Mario,5
283,151,Mario,1
284,151,Orin,1
285,152,Incandenza,2
286,152,Mario,3
287,153,Incandenza,1
288,153,JOI,1
289,153,Mario,2
290,154,Hal,6
291,154,Incandenza,2
292,154,Mario,1
293,155,Avril,1
294,155,Hal,1
295,155,Himself,2
296,155,Incandenza,3
297,155,Mario,1
298,156,Himself,1
299,156,Mario,1
300,159,Incandenza,1
301,160,Hal,4
302,160,Himself,2
303,160,Incandenza,3
304,160,Luria P.,1
305,160,Mario,5
306,160,Orin,1
307,161,Hal,5
308,161,Incandenza,1
309,162,Hal,1
310,163,Hal,1
311,166,Hal,1
312,168,Incandenza,1
313,168,Mario,2
314,169,Hal,4
315,169,Himself,4
316,169,Incandenza,12
317,169,Mario,11
318,171,Avril,2
319,171,Hal,1
320,171,Incandenza,2
321,171,Mario,2
322,171,Orin,1
323,172,Luria P.,1
324,175,Hal,3
325,175,Incandenza,1
326,175,Mario,2
327,176,Hal,6
328,176,Incandenza,1
329,176,Madame,3
330,176,Madame Psychosis,3
331,176,Mario,4
332,177,Hal,15
333,177,Incandenza,2
334,177,Mario,2
335,178,Hal,12
336,178,Incandenza,1
337,179,Hal,3
338,179,Incandenza,1
339,180,Hal,3
340,180,Incandenza,1
341,180,Mario,1
342,199,Avril,2
343,199,Hal,6
344,199,Incandenza,2
345,200,Avril,8
346,200,Hal,11
347,200,Himself,1
348,200,Incandenza,2
349,200,Mario,1
350,200,Orin,1
351,201,Avril,5
352,201,Hal,5
353,202,Avril,2
354,202,Hal,15
355,202,Himself,1
356,202,Mario,2
357,202,Orin,2
358,203,Avril,1
359,203,Booboo,1
360,203,Hal,12
361,204,Avril,8
362,204,Hal,13
363,204,Himself,2
364,204,Incandenza,1
365,204,Orin,1
366,205,Avril,5
367,205,Hal,12
368,205,Mario,1
369,205,Orin,2
370,206,Avril,3
371,206,Hal,10
372,207,Hal,2
373,212,Madame,1
374,213,Hal,1
